"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"219","Fenamiphos Sulfone","Avocado",20,0.298142396999972,-6.23744697642417,7.23208341497495,7.23822626131877,"Insignificant"
"220","Fenamiphos Sulfone","Carrot",21,0.290957186981323,-5.13803157929816,10.7505412992663,10.7544778725834,"Insignificant"
"221","Fenamiphos Sulfone","Onion",21,0.290957186981323,-7.94195666046948,8.57259331027457,8.57752948977853,"Insignificant"
"222","Fenamiphos Sulfone","Orange",19,0.305887645160749,-0.981973965842437,10.4678699204465,10.4723382261485,"Insignificant"
"223","Fenamiphos Sulfone","Spinach",21,0.290957186981323,-8.78798231271021,10.0034898184573,10.0077202515176,"Insignificant"
"224","Fenamiphos Sulfone","Strawberry",21,0.290957186981323,-0.896285105511413,6.47988037082087,6.48640930752953,"Insignificant"
"225","Fenamiphos Sulfoxide","Apple",20,0.298142396999972,-2.1489651735583,5.45014190503554,5.45829054502537,"Insignificant"
"226","Fenamiphos Sulfoxide","Avocado",21,0.290957186981323,-2.35954201909623,8.9483507346978,8.95307974698219,"Insignificant"
"227","Fenamiphos Sulfoxide","Carrot",21,0.290957186981323,-0.407062554490942,5.12924037868018,5.13748605321117,"Insignificant"
"228","Fenamiphos Sulfoxide","Onion",21,0.290957186981323,-2.47187326559538,5.66319320620112,5.67066251644537,"Insignificant"
"229","Fenamiphos Sulfoxide","Orange",21,0.290957186981323,4.86596267530487,5.80569898228397,5.81298518470065,"Insignificant"
"230","Fenamiphos Sulfoxide","Spinach",21,0.290957186981323,1.64167150465035,4.89001677683846,4.89866514087436,"Insignificant"
"231","Fenamiphos Sulfoxide","Strawberry",21,0.290957186981323,2.33618240692048,4.36939065497455,4.37906734139075,"Insignificant"
"232","Fenarimol","Apple",19,0.305887645160749,5.06382464585363,10.4076126687064,10.412106833551,"Insignificant"
